horizon,group,field,absolute_error
5,YEAR_2019,enhanced_mse_bp2,2.27373675443232e-13
5,YEAR_2019,enhanced_rmse_bp,3.19744231092045e-14
5,YEAR_2019,mean_loss_improvement_bp2,0
5,YEAR_2019,median_loss_improvement_bp2,2.8421709430404e-14
5,YEAR_2019,parent_mae_bp,5.32907051820075e-15
5,YEAR_2019,parent_mean_error_bp,1.77635683940025e-15
5,YEAR_2019,parent_mean_prediction_bp,0
5,YEAR_2019,parent_mse_bp2,1.70530256582424e-13
5,YEAR_2019,parent_rmse_bp,2.48689957516035e-14
5,YEAR_2019,past_mean_forecast_mse_bp2,1.13686837721616e-13
5,YEAR_2019,positive_loss_improvement_fraction,1.66533453693773e-16
5,YEAR_2019,relative_mse_reduction,2.63677968348475e-16
5,YEAR_2019,target_mean_bp,1.55431223447522e-15
5,YEAR_2019,target_median_bp,0
5,YEAR_2019,zero_forecast_mse_bp2,5.6843418860808e-14
5,YEAR_2020,enhanced_mae_bp,1.4210854715202e-14
5,YEAR_2020,enhanced_mean_error_bp,0
5,YEAR_2020,enhanced_mean_prediction_bp,2.66453525910038e-15
5,YEAR_2020,enhanced_mse_bp2,4.54747350886464e-13
