carrier,study,horizon,group,old_n,new_n,gate_pass_after_known_patch,membership_changed,etf_event_old_mean_bp,etf_event_new_mean_bp,etf_event_mean_change_bp,etf_control_old_mean_bp,etf_control_new_mean_bp,etf_control_mean_change_bp,etf_incremental_old_mean_bp,etf_incremental_new_mean_bp,etf_incremental_mean_change_bp
588000.SH,published_endpoint,120,2025,386,386,True,False,-0.788424112564885,-0.788424112564885,0,10.8717660556746,10.8717660556746,0,-11.6601901682394,-11.6601901682394,0
588000.SH,published_endpoint,120,LONG,869,869,True,False,17.7105763567162,17.7105763567162,0,-7.88085412089457,-7.88085412089457,0,25.5914304776108,25.5914304776108,0
588000.SH,published_endpoint,120,SHORT,933,933,True,False,-10.3522600049482,-10.3522600049482,0,9.3746694257772,9.3746694257772,0,-19.7269294307253,-19.7269294307253,0
588000.SH,published_endpoint,240,ALL,1801,1801,True,False,8.11243279941502,8.11243279941502,0,1.64997785816399,1.64997785816399,0,6.46245494125103,6.46245494125103,0
588000.SH,published_endpoint,240,2021,336,336,True,False,-23.1559270730851,-23.1559270730851,0,2.29594353615966,2.29594353615966,0,-25.4518706092447,-25.4518706092447,0
588000.SH,published_endpoint,240,2022,409,409,True,False,3.75221144364871,3.75221144364871,0,-20.9434402763931,-20.9434402763931,0,24.6956517200419,24.6956517200419,0
588000.SH,published_endpoint,240,2023,235,235,True,False,-9.97788760370044,-9.97788760370044,0,5.76982969066644,5.76982969066644,0,-15.747717294367,-15.747717294367,0
588000.SH,published_endpoint,240,2024,435,435,True,False,53.6810707554773,53.6810707554773,0,11.9284994969362,11.9284994969362,0,41.7525712585411,41.7525712585411,0
588000.SH,published_endpoint,240,2025,386,386,True,False,-0.389206486819418,-0.389206486819418,0,10.9358365517478,10.9358365517478,0,-11.3250430385672,-11.3250430385672,0
588000.SH,published_endpoint,240,LONG,869,869,True,False,26.3740476340578,26.3740476340578,0,-22.3451751570832,-22.3451751570832,0,48.719222791141,48.719222791141,0
588000.SH,published_endpoint,240,SHORT,932,932,True,False,-8.91475957322934,-8.91475957322934,0,24.023140916372,24.023140916372,0,-32.9379004896013,-32.9379004896013,0
