carrier,legacy_label,convention,scope,left_label,right_label,legacy_volume_raw,legacy_open,legacy_high,legacy_low,legacy_close,tick_rows,tick_volume_raw,tick_open_x10000,tick_high_x10000,tick_low_x10000,tick_close_x10000,left_exact_tick_rows,right_exact_tick_rows,volume_equal_without_unit_conversion,legacy_minus_tick_volume_raw,open_equal_declared_scale,high_equal_declared_scale,low_equal_declared_scale,close_equal_declared_scale,all_ohlc_equal_declared_scale,legacy_zero_nonflat
588000,2025-12-01T09:45:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:45:00,2025-12-01 09:46:00,108530.0,1.388,1.389,1.388,1.389,788,29997500.0,13890,13890,13850,13880,0,0,False,-29888970.0,False,True,False,False,False,False
588000,2025-12-01T09:45:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:45:00,2025-12-01 09:46:00,108530.0,1.388,1.389,1.388,1.389,788,29997500.0,13890,13890,13850,13880,0,0,False,-29888970.0,False,True,False,False,False,False
588000,2025-12-01T09:46:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:45:00,2025-12-01 09:46:00,295512.0,1.389,1.389,1.386,1.388,788,29997500.0,13890,13890,13850,13880,0,0,False,-29701988.0,True,True,False,True,False,False
588000,2025-12-01T09:46:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:45:00,2025-12-01 09:46:00,295512.0,1.389,1.389,1.386,1.388,788,29997500.0,13890,13890,13850,13880,0,0,False,-29701988.0,True,True,False,True,False,False
588000,2025-12-01T09:46:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:46:00,2025-12-01 09:47:00,295512.0,1.389,1.389,1.386,1.388,455,14789200.0,13880,13890,13860,13880,0,0,False,-14493688.0,False,True,True,True,False,False
588000,2025-12-01T09:46:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:46:00,2025-12-01 09:47:00,295512.0,1.389,1.389,1.386,1.388,455,14789200.0,13880,13890,13860,13880,0,0,False,-14493688.0,False,True,True,True,False,False
588000,2025-12-01T09:47:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:46:00,2025-12-01 09:47:00,151230.0,1.388,1.389,1.386,1.389,455,14789200.0,13880,13890,13860,13880,0,0,False,-14637970.0,True,True,True,False,False,False
588000,2025-12-01T09:47:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:46:00,2025-12-01 09:47:00,151230.0,1.388,1.389,1.386,1.389,455,14789200.0,13880,13890,13860,13880,0,0,False,-14637970.0,True,True,True,False,False,False
588000,2025-12-01T09:47:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:47:00,2025-12-01 09:48:00,151230.0,1.388,1.389,1.386,1.389,709,16766500.0,13890,13900,13870,13900,0,0,False,-16615270.0,False,False,False,False,False,False
588000,2025-12-01T09:47:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:47:00,2025-12-01 09:48:00,151230.0,1.388,1.389,1.386,1.389,709,16766500.0,13890,13900,13870,13900,0,0,False,-16615270.0,False,False,False,False,False,False
588000,2025-12-01T09:48:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:47:00,2025-12-01 09:48:00,160872.0,1.388,1.389,1.387,1.389,709,16766500.0,13890,13900,13870,13900,0,0,False,-16605628.0,False,False,True,False,False,False
588000,2025-12-01T09:48:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:47:00,2025-12-01 09:48:00,160872.0,1.388,1.389,1.387,1.389,709,16766500.0,13890,13900,13870,13900,0,0,False,-16605628.0,False,False,True,False,False,False
588000,2025-12-01T09:48:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:48:00,2025-12-01 09:49:00,160872.0,1.388,1.389,1.387,1.389,482,10926400.0,13900,13910,13880,13890,0,0,False,-10765528.0,False,False,False,True,False,False
588000,2025-12-01T09:48:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:48:00,2025-12-01 09:49:00,160872.0,1.388,1.389,1.387,1.389,482,10926400.0,13900,13910,13880,13890,0,0,False,-10765528.0,False,False,False,True,False,False
