layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,spec,effect_bp_ASSUMED,target_positive_detection,family_size,required_trading_days_CONDITIONAL,expected_eligible_pairs_CONDITIONAL,equivalent_years_NOT_FORECAST,independent_equivalent_n_required_NOT_actual_count,critical_z,not_confirmatory_sample_size
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,2,0.8,28,1449,1520,5.977722772277228,1146.1280951115323,3.1237346303238454,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,2,0.9,28,1788,1876,7.376237623762376,1414.5460106657486,3.1237346303238454,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,4,0.8,28,363,381,1.4975247524752475,286.53202377788307,3.1237346303238454,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,4,0.9,28,447,469,1.844059405940594,353.63650266643714,3.1237346303238454,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,6,0.8,28,161,169,0.6641914191419142,127.34756612350358,3.1237346303238454,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,6,0.9,28,199,209,0.820957095709571,157.17177896286097,3.1237346303238454,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,2,0.8,1,781,820,3.2219471947194718,572.1059919139655,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,2,0.9,1,1045,1096,4.311056105610561,765.8876038981232,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,4,0.8,1,196,206,0.8085808580858086,143.02649797849136,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,4,0.9,1,262,275,1.0808580858085808,191.4719009745308,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift10,6,0.8,1,87,92,0.3589108910891089,63.56733243488506,1.959963984540054,True
