layer,index_symbol,carrier,horizon,effect_bp_ASSUMED,family_size,target_power,budget_trading_days,prior_required_days_CONDITIONAL,required_variance_ratio,required_variance_reduction,required_information_multiplier,balanced_independent_controls_limit_ratio,infinite_controls_sufficient_in_balanced_model,measured_R_squared,real_matching_changed
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,2,14,0.8,243,182385.78524322927,0.001332340673786259,0.9986676593262137,750.5587870091739,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,2,14,0.8,486,182385.78524322927,0.002664681347572518,0.9973353186524275,375.27939350458695,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,4,1,0.8,243,25376.8900228954,0.009575641450972198,0.9904243585490278,104.43164618475473,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,4,1,0.8,486,25376.8900228954,0.019151282901944396,0.9808487170980557,52.21582309237736,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,4,14,0.8,243,45596.44631080732,0.005329362695145036,0.9946706373048549,187.63969675229347,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,4,14,0.8,486,45596.44631080732,0.010658725390290072,0.9893412746097099,93.81984837614674,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,6,1,0.8,243,11278.61778795351,0.021545193264687446,0.9784548067353126,46.4140649710021,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,6,1,0.8,486,11278.61778795351,0.04309038652937489,0.9569096134706251,23.20703248550105,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,6,14,0.8,243,20265.087249247692,0.011991066064076333,0.9880089339359237,83.39542077879709,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,6,14,0.8,486,20265.087249247692,0.023982132128152665,0.9760178678718473,41.697710389398544,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,240,2,1,0.8,243,137653.96734571448,0.001765296014968545,0.9982347039850314,566.4772318753683,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,240,2,1,0.8,486,137653.96734571448,0.00353059202993709,0.9964694079700629,283.23861593768413,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,240,2,14,0.8,243,247332.58196279037,0.0009824827690375134,0.9990175172309624,1017.8295554024294,0.5,False,False,False
