symbol,cell,event_day,control_day,event_entry_idx,control_entry_idx,side,parent_direction,horizon,event_signed_return,control_signed_return,incremental_return,match_distance
000688.SH,R1_A,2025-03-31,2025-09-02,272439,297871,SHORT,-1,15,0.006433805664081471,0.002093920922815462,0.004339884741266009,0.5928447605353107
000688.SH,R1_A,2025-03-31,2025-09-02,272439,297871,SHORT,-1,30,0.008834334363519769,-0.00620724600962741,0.015041580373147179,0.5928447605353107
000688.SH,R1_A,2025-03-31,2025-09-02,272439,297871,SHORT,-1,60,0.012517736699904858,0.005260883172625519,0.007256853527279339,0.5928447605353107
000688.SH,R1_A,2025-03-31,2025-09-02,272439,297871,SHORT,-1,120,0.013888078993916197,0.013919730547400144,-3.165155348394677e-05,0.5928447605353107
000688.SH,R1_A,2025-03-31,2025-09-02,272439,297871,SHORT,-1,240,-0.0017590918809649025,0.021706731843991744,-0.023465823724956647,0.5928447605353107
000688.SH,R1_A,2025-03-31,2025-03-20,272552,270869,SHORT,-1,1,-0.0008380163659666984,6.525346309449453e-05,-0.0009032698290611929,0.6280909170285617
000688.SH,R1_A,2025-03-31,2025-03-20,272552,270869,SHORT,-1,5,0.0002366163856847292,0.0008576169435278169,-0.0006210005578430877,0.6280909170285617
000688.SH,R1_A,2025-03-31,2025-03-20,272552,270869,SHORT,-1,15,0.0014591343783889599,0.0007923634804332114,0.0006667708979557485,0.6280909170285617
000688.SH,R1_A,2025-03-31,2025-03-20,272552,270869,SHORT,-1,30,0.002208419599723954,0.0030109812256464696,-0.0008025616259225155,0.6280909170285617
000688.SH,R1_A,2025-03-31,2025-03-20,272552,270869,SHORT,-1,60,-0.009168884945282452,0.006348229766765412,-0.015517114712047864,0.6280909170285617
000688.SH,R1_A,2025-03-31,2025-03-20,272552,270869,SHORT,-1,120,-0.014443458542837462,0.01188545220649928,-0.026328910749336742,0.6280909170285617
000688.SH,R1_A,2025-03-31,2025-03-20,272552,270869,SHORT,-1,240,-0.012609681553780838,0.02954117493521269,-0.04215085648899353,0.6280909170285617
000688.SH,R1_A,2025-03-31,2025-05-23,272607,280996,SHORT,-1,1,0.0006937726575402259,0.0005893350674686104,0.00010443759007161546,0.726179723476204
000688.SH,R1_A,2025-03-31,2025-05-23,272607,280996,SHORT,-1,5,-0.0002052003634978039,-0.0013412453259633583,0.0011360449624655544,0.726179723476204
000688.SH,R1_A,2025-03-31,2025-05-23,272607,280996,SHORT,-1,15,0.0004201721728763763,0.0013818891237197262,-0.0009617169508433498,0.726179723476204
000688.SH,R1_A,2025-03-31,2025-05-23,272607,280996,SHORT,-1,30,5.862867528505511e-05,0.0008128759551292442,-0.000754247279844189,0.726179723476204
