symbol,cell,event_day,event_entry_idx,control_day,control_entry_idx,side,parent_direction,clock_bucket,calendar_year,severity,match_distance,event_parent_abs_drift,event_parent_efficiency,event_log1p_parent_age_bars,event_local_vol_30_over_240,control_parent_abs_drift,control_parent_efficiency,control_log1p_parent_age_bars,control_local_vol_30_over_240
000688.SH,R1_B,2023-04-24,160365,2023-04-12,158454,SHORT,-1,20,2023,0.7346586888348098,1.3520710675247996,0.4840399016959574,0.1418572318903111,4.127134385045092,1.2145668570473804,0.4290323984618998,0.10153948757850262,3.6375861597263857,1.0235990360581118
000688.SH,R1_B,2023-04-25,160611,2023-04-25,160610,SHORT,-1,20,2023,1.0454783873162037,0.1760409993260408,0.5358835172277044,0.08694677592089871,1.9459101490553132,1.4573223112256275,0.5358835172277044,0.08694677592089871,1.791759469228055,1.4176946892746995
000688.SH,R1_B,2023-04-25,160761,2023-05-25,165315,SHORT,-1,28,2023,0.9937077208892523,0.51028113728187,0.5112135861978521,0.0837174141000319,4.454347296253507,0.9863244881363953,0.42182414699868415,0.07141829068194266,4.418840607796598,0.9960583811207946
000688.SH,R1_B,2023-04-26,160897,2023-06-28,170489,SHORT,-1,22,2023,1.031113455756647,0.7006542502471645,0.21020786363849575,0.052998258273203744,2.5649493574615367,1.0940579624764888,0.18041660791802444,0.03437309696190511,2.995732273553991,1.186048192466021
000688.SH,R1_B,2023-05-04,161522,2023-05-04,161521,SHORT,-1,19,2023,1.9966928217323487,0.013046299090528856,0.15862016569879872,0.03149350649350647,5.43372200355424,1.134264813393879,0.15862016569879872,0.03149350649350647,5.429345628954441,1.1383128354373242
000688.SH,R1_B,2023-05-08,162036,2023-03-10,153149,SHORT,-1,20,2023,1.1598599097745717,0.13018193825985025,0.18696908134348725,0.022829782804802107,1.9459101490553132,1.7057640137601093,0.2054395324821336,0.02336688733714221,1.9459101490553132,1.6723823627124992
000688.SH,R1_B,2023-05-10,162521,2023-05-10,162520,SHORT,-1,20,2023,0.5296399987533327,0.0603082029984524,0.4284025742555919,0.0682339143877613,5.123963979403259,1.5783876419567093,0.4284025742555919,0.0682339143877613,5.117993812416755,1.55899175246212
000688.SH,R1_B,2023-05-10,162642,2023-08-21,179677,SHORT,-1,27,2023,0.9348982404532344,0.30608037745634337,0.4284025742555919,0.0682339143877613,5.666426688112432,0.8190519631416534,0.4977244924803566,0.06957132817990126,5.560681631015528,0.819809172312048
000688.SH,R1_B,2023-05-15,163248,2023-05-15,163247,SHORT,-1,20,2023,0.6639920049022685,0.027282535095455918,0.3618947840377295,0.056132485475090144,5.313205979041787,1.6498192650217876,0.3618947840377295,0.056132485475090144,5.308267697401205,1.6411130067178075
000688.SH,R1_B,2023-05-16,163606,2023-05-16,163604,SHORT,-1,27,2023,1.9632097720164212,0.008728992858142035,0.22165021582238636,0.024220887963076383,5.44673737166631,0.5218362579705578,0.22165021582238636,0.024220887963076383,5.438079308923196,0.5234819264502072
