symbol,horizon,view,n,event_var_bp2,control_var_bp2,event_control_cov_bp2,covariance_term_bp2,difference_var_bp2,event_sd_bp,control_sd_bp,difference_sd_bp,event_control_correlation,event_share_of_difference,control_share_of_difference,covariance_share_of_difference,cancellation_relative_to_marginal_sum,top_1pct_centered_square_share,top_5pct_centered_square_share,variance_identity_error_bp2
000688.SH,1,POOLED_SIGNED,156,132.249602368,245.384069028,-29.4035403207,58.8070806415,436.440752037,11.4999827116,15.6647396731,20.891164449,-0.163222210534,0.303018454969,0.562239130701,0.13474241433,-0.155725204334,0.467886381816,0.658062016803,0
000688.SH,1,POOLED_UNSIGNED,156,133.586360389,246.233437007,-30.4757957196,60.9515914392,440.771388835,11.5579565836,15.6918270768,20.9945561714,-0.168035282902,0.303074028335,0.558642060815,0.13828391085,-0.160475024885,0.465490257635,0.667188196497,1.70530256582e-13
000688.SH,1,YEAR_2020,156,132.249602368,245.384069028,-29.4035403207,58.8070806415,436.440752037,11.4999827116,15.6647396731,20.891164449,-0.163222210534,0.303018454969,0.562239130701,0.13474241433,-0.155725204334,0.467886381816,0.658062016803,0
000688.SH,1,LONG,64,144.841785771,488.039416591,-74.9045455776,149.809091155,782.690293516,12.0350232975,22.091614169,27.9766026085,-0.281730449813,0.185056320451,0.623540908369,0.191402771181,-0.23670965514,0.44198604915,0.772105866788,0
000688.SH,1,SHORT,92,122.708694067,75.8316306551,3.01408466299,-6.02816932598,192.512155396,11.0773956356,8.70813588864,13.8748749687,0.0312458671947,0.637407512344,0.393905675717,-0.0313131880612,0.0303624431682,0.0877296459919,0.290972194751,5.68434188608e-14
000688.SH,5,POOLED_SIGNED,156,882.596282775,764.972838445,-60.3953308627,120.790661725,1768.35978295,29.7085220564,27.6581423535,42.051870148,-0.0735020260257,0.49910447596,0.432588914215,0.0683066098259,-0.0733144729224,0.240144035813,0.479277444744,2.27373675443e-13
000688.SH,5,POOLED_UNSIGNED,156,885.32130772,765.01310009,-59.9383255906,119.876651181,1770.21105899,29.7543493916,27.6588701882,42.0738762059,-0.0728315767253,0.500121894066,0.432159259318,0.0677188466157,-0.072637794264,0.243547327098,0.483524626299,0
000688.SH,5,YEAR_2020,156,882.596282775,764.972838445,-60.3953308627,120.790661725,1768.35978295,29.7085220564,27.6581423535,42.051870148,-0.0735020260257,0.49910447596,0.432588914215,0.0683066098259,-0.0733144729224,0.240144035813,0.479277444744,2.27373675443e-13
000688.SH,5,LONG,64,1089.01009665,750.658179146,-217.182865961,434.365731923,2274.03400772,33.0001529792,27.3981418922,47.6868326451,-0.240208569085,0.478889098823,0.33009980352,0.191011097657,-0.236110899795,0.27555803598,0.652848468958,9.09494701773e-13
000688.SH,5,SHORT,92,738.574018213,774.794218059,48.431847259,-96.8636945179,1416.50454175,27.1767183121,27.835125616,37.6364788703,0.0640237098184,0.521406036085,0.54697616225,-0.0683821983359,0.0640053704025,0.0914650681439,0.31528016651,2.27373675443e-13
